运动的描述,描述运动的几个物理量,质点,,
运动的描述,描述运动的几个物理量,机械运动的概念,,
运动的描述,描述运动的几个物理量,参考系,,
运动的描述,描述运动的几个物理量,坐标系,,
运动的描述,描述运动的几个物理量,标量与矢量,,
运动的描述,描述运动的几个物理量,路程与位移,,
运动的描述,描述运动的几个物理量,时间与时刻,,
运动的描述,速度,速率与速度,,
运动的描述,速度,平均速度与瞬时速度,,
运动的描述,实验：测量物体的速度,,,
运动的描述,匀速直线运动,,,
运动的描述,用x-t图像描述匀速运动,,,
运动的描述,加速度,加速度的定义,,
运动的描述,加速度,加速度的分析与计算,,
运动的描述,加速度,速度、速度变化与加速度的关系,,
直线运动,匀变速直线运动,实验：测定匀变速直线运动的加速度,,
直线运动,匀变速直线运动,实验：用现代技术测量加速度,,
直线运动,匀变速直线运动,匀变速直线运动的定义与特征,,
直线运动,匀变速直线运动,匀变速直线运动的速度与时间的关系,,
直线运动,匀变速直线运动,匀变速运动的v-t图象,v-t图象斜率的物理意义、利用v-t图象求加速度,
直线运动,匀变速直线运动,匀变速运动的v-t图象,v-t图象的面积,
直线运动,匀变速直线运动,匀变速运动的v-t图象,用v-t图像解决匀变速运动的问题,
直线运动,匀变速直线运动,匀变速直线运动的位移与时间的关系,,
直线运动,匀变速直线运动,匀变速运动中的平均速度,匀变速直线运动平均速度的计算,
直线运动,匀变速直线运动,匀变速运动中的平均速度,利用中间时刻速度解决问题,
直线运动,匀变速直线运动,匀变速运动中的平均速度,利用平均速度解决匀变速运动的问题,
直线运动,匀变速直线运动,匀变速直线运动的速度与位移的关系,位移速度公式的推导与简单应用,
直线运动,匀变速直线运动,匀变速直线运动的速度与位移的关系,中间位移处瞬时速度的计算,
直线运动,匀变速直线运动,匀变速运动中x-t图象与v-t图象,,
直线运动,匀变速直线运动,匀变速运动的a-t图象,,
直线运动,匀变速直线运动规律的应用,初速度为零的匀加速直线运动的规律,连续相等时间内的运动规律,
直线运动,匀变速直线运动规律的应用,初速度为零的匀加速直线运动的规律,等分运动的规律,
直线运动,匀变速直线运动规律的应用,初速度为零的匀加速直线运动的规律,连续相等位移的运动规律,
直线运动,匀变速直线运动规律的应用,自由落体运动,自由落体运动的特征,
直线运动,匀变速直线运动规律的应用,自由落体运动,重力加速度及其测定,
直线运动,匀变速直线运动规律的应用,自由落体运动,自由落体运动的三个基本公式,
直线运动,匀变速直线运动规律的应用,自由落体运动,自由落体运动的图象,
直线运动,匀变速直线运动规律的应用,自由落体运动,自由落体运动平均速度,
直线运动,匀变速直线运动规律的应用,自由落体运动,自由落体运动的重要推论Δh=gT_,
直线运动,匀变速直线运动规律的应用,自由落体运动,用自由落体运动公式求解频闪照片问题,
直线运动,匀变速直线运动规律的应用,伽利略对自由落体运动的探究,,
直线运动,匀变速直线运动规律的应用,竖直上抛运动,竖直上抛运动的三个基本公式,
直线运动,匀变速直线运动规律的应用,竖直上抛运动,竖直上抛运动的v-t图象,
直线运动,匀变速直线运动规律的应用,竖直上抛运动,竖直上抛运动的高度、速度与时间的计算,
直线运动,匀变速直线运动规律的应用,竖直上抛运动,自由落体和竖直上抛相遇类问题,
直线运动,匀变速直线运动规律的应用,追及与相遇问题,变速物体追匀速物体,
直线运动,匀变速直线运动规律的应用,追及与相遇问题,变速物体追变速物体,
直线运动,匀变速直线运动规律的应用,追及与相遇问题,避免相撞类问题,
直线运动,匀变速直线运动规律的应用,追及与相遇问题,追击猎物问题,
直线运动,匀变速直线运动规律的应用,追及与相遇问题,接力赛问题,
直线运动,匀变速直线运动规律的应用,追及与相遇问题,相遇次数问题,
直线运动,匀变速直线运动规律的应用,刹车问题,,
直线运动,匀变速直线运动规律的应用,非匀变速直线运动,利用v-t图像解决非匀变速运动,
直线运动,匀变速直线运动规律的应用,非匀变速直线运动,利用a-t图像解决非匀变速运动,
直线运动,匀变速直线运动规律的应用,非匀变速直线运动,解决非匀变速直线运动的特殊方法,
相互作用,力,力的概念,,
相互作用,力,自然界的四种基本相互作用,,
相互作用,重力,重力的概念、大小和方向,,
相互作用,重力,重力的作用点：重心,,
相互作用,弹力,弹力,弹性形变和塑性形变,
相互作用,弹力,弹力,判断是否存在弹力,
相互作用,弹力,弹力,判断弹力的方向,
相互作用,弹力,弹力,通过力的平衡求解弹力,
相互作用,弹力,胡克定律,,
相互作用,弹力,实验：探究弹力和弹簧伸长量的关系,,
相互作用,摩擦力,静摩擦力,,
相互作用,摩擦力,滑动摩擦力,,
相互作用,力的合成与分解,力的合成,,
相互作用,力的合成与分解,力的分解,,
相互作用,力的合成与分解,实验：验证力的平行四边形定则,,
相互作用,共点力平衡,受力分析,分析物体受到几个力作用,
相互作用,共点力平衡,受力分析,二力平衡,
相互作用,共点力平衡,受力分析,直接合成法解决三力平衡问题,
相互作用,共点力平衡,受力分析,整体法与隔离法结合处理物体平衡问题,
相互作用,共点力平衡,受力分析,正交分解法解共点力平衡,
相互作用,共点力平衡,受力分析,用三角形法则解决平衡问题,
相互作用,共点力平衡,受力分析,用相似三角形解决平衡问题,
相互作用,共点力平衡,受力分析,平衡问题的动态分析,
相互作用,共点力平衡,受力分析,自锁问题,
相互作用,共点力平衡,受力分析,刚体平衡条件及其应用,
相互作用,共点力平衡,平衡问题中的几种常见的临界与极值,绳子无节点受力分析,
相互作用,共点力平衡,平衡问题中的几种常见的临界与极值,绳子有节点受力分析,
相互作用,共点力平衡,平衡问题中的几种常见的临界与极值,计算绳子承受最大拉力的问题,
相互作用,共点力平衡,平衡问题中的几种常见的临界与极值,物体间发生相对滑动问题,
相互作用,共点力平衡,平衡问题中的几种常见的临界与极值,斜面上物体受力平衡的问题,
相互作用,共点力平衡,平衡问题中的几种常见的临界与极值,含有活动杆的共点力平衡问题,
牛顿运动定律,牛顿第一定律,伽利略的理想斜面实验,,
牛顿运动定律,牛顿第一定律,牛顿第一定律,,
牛顿运动定律,牛顿第一定律,惯性与质量,,
牛顿运动定律,牛顿第二定律,实验：探究加速度与力、质量的关系,,
牛顿运动定律,牛顿第二定律,牛顿第二定律,牛顿第二定律的内容和表达式,
牛顿运动定律,牛顿第二定律,牛顿第二定律,牛顿第二定律的简单应用,
牛顿运动定律,牛顿第二定律,牛顿第二定律,牛顿第二定律的瞬时性,
牛顿运动定律,牛顿第二定律,牛顿第二定律,牛顿第二定律的同向性,
牛顿运动定律,牛顿第二定律,牛顿第二定律,利用牛顿第二定律分析动态过程,
牛顿运动定律,牛顿第三定律,牛顿第三定律的理解与应用,,
牛顿运动定律,牛顿第三定律,综合利用牛顿三定律解决问题,,
牛顿运动定律,牛顿运动定律的应用,牛顿定律与直线运动,,
牛顿运动定律,牛顿运动定律的应用,超重与失重,,
牛顿运动定律,牛顿运动定律的应用,斜面模型,,
牛顿运动定律,牛顿运动定律的应用,连接体模型,,
牛顿运动定律,牛顿运动定律的应用,传送带模型,,
牛顿运动定律,牛顿运动定律的应用,板块模型,,
牛顿运动定律,物理实验基础,常用仪器的使用与读数,,
牛顿运动定律,物理实验基础,误差和有效数字,,
牛顿运动定律,力学单位制,基本单位,,
牛顿运动定律,力学单位制,导出单位,,
曲线运动,曲线运动,曲线运动的概念,曲线运动概念和性质,
曲线运动,曲线运动,曲线运动的概念,曲线运动的轨迹和位移,
曲线运动,曲线运动,曲线运动的概念,曲线运动瞬时速度的方向,
曲线运动,曲线运动,曲线运动的条件,物体做曲线运动的条件,
曲线运动,曲线运动,曲线运动的条件,通过受力判断曲线运动的速度变化,
曲线运动,曲线运动,曲线运动的条件,通过物体运动轨迹判断物体受力方向,
曲线运动,运动的合成与分解,研究合运动与分运动,,
曲线运动,运动的合成与分解,运动的合成,,
曲线运动,运动的合成与分解,小船渡河问题,过河时间最短问题,
曲线运动,运动的合成与分解,小船渡河问题,船速大于水速时最短过河位移问题,
曲线运动,运动的合成与分解,小船渡河问题,船速小于水速时最短过河位移问题,
曲线运动,运动的合成与分解,小船渡河问题,小船过河模型在其他运动中的应用,
曲线运动,运动的合成与分解,运动的分解,求分速度大小和方向,
曲线运动,运动的合成与分解,运动的分解,杆连接物体运动的分析,
曲线运动,运动的合成与分解,斜牵引运动,斜牵引运动中的受力分析,
曲线运动,运动的合成与分解,斜牵引运动,斜牵引运动的运动分解,
曲线运动,抛体运动,平抛运动的研究方法,,
